session_id,n_actions,n_unique_tools,avg_gap_seconds,max_gap_seconds,max_single_tool_repeat,session_duration_seconds
0,7,4,3.1580215653280326,6.369202136222889,3,22.10615095729623
1,5,3,5.968894833475185,14.014229900633248,2,29.84447416737592
2,6,4,4.528768197304056,19.42045841955412,2,27.17260918382434
3,3,2,1.9228278861727193,3.7854834955991947,2,5.768483658518158
4,7,4,2.8411641758675907,6.151744044123648,3,19.888149231073136
5,5,3,3.822550455026223,11.403187515742411,2,19.112752275131115
6,2,2,2.511056156202336,4.611003052394647,1,5.022112312404672
7,7,4,3.530169970918379,7.163717137375573,2,24.711189796428652
8,6,2,6.346580148376588,13.971228530944906,4,38.079480890259525
9,6,3,6.09104524859717,12.994457080961384,4,36.54627149158302
10,5,2,2.6754227519264786,7.058231460963736,3,13.377113759632392
11,4,4,0.8707314951039072,1.4054620029251337,1,3.482925980415629
12,1,1,0.0,0.0,1,5.917935104966046
13,4,4,1.8258053441711075,4.970050075760085,1,7.30322137668443
14,3,1,2.661381951964723,5.900858104174054,3,7.984145855894169
15,1,1,0.0,0.0,1,9.858518918476738
16,1,1,0.0,0.0,1,3.9052047668494962
17,2,2,1.1272174443692955,1.8533404671933709,1,2.254434888738591
18,6,3,3.7765131969741463,8.729007649606059,3,22.659079181844877
19,6,3,3.343651320255109,7.559619618920173,3,20.061907921530654
20,2,2,0.27983041836395917,0.45666974076746336,1,0.5596608367279183
21,7,4,3.8727834387701416,9.044375363769468,3,27.10948407139099
22,5,3,2.8102465469882523,10.619800343522499,3,14.05123273494126
23,5,3,1.4855373264530816,2.439156726352649,3,7.427686632265408
24,6,4,3.6298003101583465,9.056970597144925,2,21.77880186095008
25,6,5,1.6038156062455131,3.0550462013637385,2,9.622893637473078
26,1,1,0.0,0.0,1,0.5107215661825872
27,4,3,1.527707137452395,3.266704789326792,2,6.11082854980958
28,4,3,7.591843796792266,14.271192553166799,2,30.367375187169063
29,2,1,2.812011153334351,4.982939155388622,2,5.624022306668702
30,1,1,0.0,0.0,1,1.2412434760766708
31,2,2,1.5027414404200619,2.794078531318554,1,3.0054828808401237
32,5,3,3.1374239789396063,4.566565011455948,2,15.687119894698032
33,6,4,3.239194900125939,5.7355505049578515,2,19.435169400755633
34,4,3,7.904982863623825,16.398990343971885,2,31.6199314544953
35,1,1,0.0,0.0,1,1.5472411746695864
36,6,4,4.458506378916173,7.81783285430653,2,26.751038273497038
37,4,3,2.8908997926356466,4.696850110270876,2,11.563599170542586
38,2,1,5.888853729241368,7.273484292941189,2,11.777707458482736
39,1,1,0.0,0.0,1,0.48177714014798567
40,7,4,4.27285261227905,16.107119746565292,2,29.90996828595335
41,1,1,0.0,0.0,1,0.3909045618997629
42,4,3,3.495651396065223,8.569911946857866,2,13.982605584260892
43,3,3,7.666260464307978,9.096389396429009,1,22.998781392923934
44,1,1,0.0,0.0,1,4.10924277427082
45,3,1,7.183319377652715,10.972740728339629,3,21.549958132958146
46,6,5,1.4543246624214081,4.356649549160964,2,8.725947974528449
47,6,4,4.586692242179162,20.78121148236563,2,27.520153453074972
48,7,4,3.0449606084035343,5.105312780314971,3,21.31472425882474
49,6,3,4.576795715829189,8.904220844994091,4,27.46077429497514
50,1,1,0.0,0.0,1,0.868859581300954
51,5,4,6.608321821434788,20.848933595928546,2,33.04160910717394
52,6,3,6.142265829117417,12.310249651152093,3,36.8535949747045
53,5,5,4.346468799096872,15.71496465644262,1,21.73234399548436
54,1,1,0.0,0.0,1,1.5245849257228683
55,2,2,7.130060925734539,11.005173883228167,1,14.260121851469078
56,2,1,5.465037617304938,10.638002252617955,2,10.930075234609877
57,2,2,11.13020092672807,18.44227899138527,1,22.26040185345614
58,2,2,1.2864376297284228,1.3998789731792214,1,2.5728752594568456
59,2,2,5.088217347310686,5.40013699341468,1,10.176434694621372
60,3,3,3.187496075487307,4.936504824125803,1,9.562488226461921
61,2,2,7.358556492909887,8.07180018947166,1,14.717112985819774
62,5,2,1.0947890659399095,3.954310536792363,4,5.473945329699548
63,6,3,3.7609814753086517,8.829293905387068,3,22.56588885185191
64,6,5,5.771824860325295,16.03433129113419,2,34.63094916195177
65,2,2,4.351872787491761,6.917405478152544,1,8.703745574983522
66,4,2,5.831446301849055,13.43851352589716,2,23.32578520739622
67,7,4,4.406371730309579,14.894228034799971,3,30.844602112167053
68,4,4,2.372958223325172,5.0153856793868075,1,9.491832893300687
69,2,2,0.21476555625028856,0.3268206743346796,1,0.42953111250057713
70,5,3,3.4699439608850233,9.870486526705555,3,17.349719804425117
71,7,4,4.676325394133714,12.392413994225226,3,32.734277758936
72,7,5,1.991097174092241,5.2379157899302236,2,13.937680218645687
73,4,3,3.2391194741861598,7.736812134462634,2,12.956477896744639
74,4,2,3.528271685420066,6.57845718236162,2,14.113086741680265
75,6,4,2.371879362343449,4.032458144163648,2,14.231276174060692
76,2,2,6.8096502611250065,10.838384065806428,1,13.619300522250013
77,5,3,7.915922385436313,11.547626068149341,2,39.57961192718157
78,3,3,4.7955349058269725,6.456782744491384,1,14.386604717480918
79,1,1,0.0,0.0,1,2.451823896204365
80,3,2,5.891824239885811,6.873429586945404,2,17.675472719657435
81,2,1,1.1033716511100429,1.2806068878237928,2,2.2067433022200857
82,4,4,1.3726951075617853,4.5954994903086686,1,5.490780430247141
83,1,1,0.0,0.0,1,4.265230615960289
84,5,3,3.2227497089061474,7.454104160389108,3,16.113748544530736
85,5,3,5.757953577739472,13.715987098192404,3,28.78976788869736
86,4,3,7.885303765429522,18.628019560560922,2,31.541215061718088
87,4,3,5.050070010635399,10.680551697597306,2,20.200280042541596
88,5,3,2.803810021158669,5.386891152675422,2,14.019050105793344
89,1,1,0.0,0.0,1,2.8148299590270174
90,1,1,0.0,0.0,1,1.5429417046580332
91,3,2,4.45783303302704,12.73224910760095,2,13.37349909908112
92,3,3,4.6364688361624,11.987889532753142,1,13.909406508487198
93,4,3,2.793264813814843,3.9969203215620985,2,11.173059255259371
94,1,1,0.0,0.0,1,3.2270829863783628
95,5,4,4.240440691877315,6.272781664884595,2,21.202203459386574
96,7,5,7.736098826318433,22.017669973030554,3,54.152691784229035
97,2,2,2.139028783986841,3.85162271899214,1,4.278057567973682
98,7,4,2.6749972495233374,8.898679835145272,3,18.724980746663363
